UP,AAPL,2013-10-18
UP,AAPL,2013-10-21
UP,AAPL,2013-10-22
UP,AAPL,2013-10-23
UP,AAPL,2013-10-24
UP,AAPL,2013-10-25
UP,AAPL,2013-10-28
UP,AAPL,2013-10-29
UP,AAPL,2013-10-30
UP,AAPL,2013-10-31
null,AAWW,2013-10-18
null,AAWW,2013-10-21
null,AAWW,2013-10-22
null,AAWW,2013-10-23
null,AAWW,2013-10-24
null,AAWW,2013-10-25
null,AAWW,2013-10-28
null,AAWW,2013-10-29
UP,AAWW,2013-10-30
UP,AAWW,2013-10-31
null,ABAX,2013-10-18
null,ABAX,2013-10-21
null,ABAX,2013-10-22
UP,ABAX,2013-10-23
UP,ABAX,2013-10-24
UP,ABAX,2013-10-25
UP,ABAX,2013-10-28
null,ABAX,2013-10-29
UP,ABAX,2013-10-30
UP,ABAX,2013-10-31
DOWN,ABCD,2013-10-18
null,ABCD,2013-10-21
null,ABCD,2013-10-22
null,ABCD,2013-10-23
null,ABCD,2013-10-24
null,ABCD,2013-10-25
null,ABCD,2013-10-28
UP,ABCD,2013-10-29
UP,ABCD,2013-10-30
UP,ABCD,2013-10-31
null,ABIO,2013-10-18
null,ABIO,2013-10-21
null,ABIO,2013-10-22
null,ABIO,2013-10-23
null,ABIO,2013-10-24
null,ABIO,2013-10-25
null,ABIO,2013-10-28
null,ABIO,2013-10-29
UP,ABIO,2013-10-30
UP,ABIO,2013-10-31
UP,ADHD,2013-10-18
null,ADHD,2013-10-21
UP,ADHD,2013-10-22
UP,ADHD,2013-10-23
UP,ADHD,2013-10-24
UP,ADHD,2013-10-25
UP,ADHD,2013-10-28
null,ADHD,2013-10-29
UP,ADHD,2013-10-30
UP,ADHD,2013-10-31
UP,ADTN,2013-10-18
null,ADTN,2013-10-21
DOWN,ADTN,2013-10-22
DOWN,ADTN,2013-10-23
UP,ADTN,2013-10-24
UP,ADTN,2013-10-25
DOWN,ADTN,2013-10-28
DOWN,ADTN,2013-10-29
DOWN,ADTN,2013-10-30
DOWN,ADTN,2013-10-31
UP,AEHR,2013-10-18
UP,AEHR,2013-10-21
null,AEHR,2013-10-22
null,AEHR,2013-10-23
null,AEHR,2013-10-24
UP,AEHR,2013-10-25
null,AEHR,2013-10-28
null,AEHR,2013-10-29
null,AEHR,2013-10-30
null,AEHR,2013-10-31
UP,AEIS,2013-10-18
null,AEIS,2013-10-21
null,AEIS,2013-10-22
null,AEIS,2013-10-23
null,AEIS,2013-10-24
null,AEIS,2013-10-25
null,AEIS,2013-10-28
null,AEIS,2013-10-29
UP,AEIS,2013-10-30
UP,AEIS,2013-10-31
null,AEY,2013-10-18
null,AEY,2013-10-21
null,AEY,2013-10-22
null,AEY,2013-10-23
null,AEY,2013-10-24
null,AEY,2013-10-25
null,AEY,2013-10-28
null,AEY,2013-10-29
null,AEY,2013-10-30
null,AEY,2013-10-31
UP,AFCB,2013-10-18
null,AFCB,2013-10-21
null,AFCB,2013-10-22
null,AFCB,2013-10-23
null,AFCB,2013-10-24
null,AFCB,2013-10-25
null,AFCB,2013-10-28
null,AFCB,2013-10-29
null,AFCB,2013-10-30
null,AFCB,2013-10-31
null,AFH,2013-10-18
null,AFH,2013-10-21
null,AFH,2013-10-22
null,AFH,2013-10-23
null,AFH,2013-10-24
null,AFH,2013-10-25
null,AFH,2013-10-28
DOWN,AFH,2013-10-29
DOWN,AFH,2013-10-30
DOWN,AFH,2013-10-31
null,AGIIL,2013-10-18
null,AGIIL,2013-10-21
null,AGIIL,2013-10-22
null,AGIIL,2013-10-23
null,AGIIL,2013-10-24
null,AGIIL,2013-10-25
null,AGIIL,2013-10-28
null,AGIIL,2013-10-29
null,AGIIL,2013-10-30
null,AGIIL,2013-10-31
null,ALGT,2013-10-18
null,ALGT,2013-10-21
UP,ALGT,2013-10-22
UP,ALGT,2013-10-23
UP,ALGT,2013-10-24
UP,ALGT,2013-10-25
null,ALGT,2013-10-28
DOWN,ALGT,2013-10-29
DOWN,ALGT,2013-10-30
DOWN,ALGT,2013-10-31
DOWN,ALLT,2013-10-18
null,ALLT,2013-10-21
null,ALLT,2013-10-22
DOWN,ALLT,2013-10-23
DOWN,ALLT,2013-10-24
DOWN,ALLT,2013-10-25
null,ALLT,2013-10-28
null,ALLT,2013-10-29
UP,ALLT,2013-10-30
UP,ALLT,2013-10-31
null,ALOG,2013-10-18
null,ALOG,2013-10-21
null,ALOG,2013-10-22
null,ALOG,2013-10-23
null,ALOG,2013-10-24
null,ALOG,2013-10-25
null,ALOG,2013-10-28
null,ALOG,2013-10-29
null,ALOG,2013-10-30
null,ALOG,2013-10-31
null,AMAP,2013-10-18
null,AMAP,2013-10-21
null,AMAP,2013-10-22
UP,AMAP,2013-10-23
UP,AMAP,2013-10-24
UP,AMAP,2013-10-25
null,AMAP,2013-10-28
UP,AMAP,2013-10-29
UP,AMAP,2013-10-30
UP,AMAP,2013-10-31
null,AMBC,2013-10-18
DOWN,AMBC,2013-10-21
DOWN,AMBC,2013-10-22
DOWN,AMBC,2013-10-23
null,AMBC,2013-10-24
DOWN,AMBC,2013-10-25
null,AMBC,2013-10-28
null,AMBC,2013-10-29
null,AMBC,2013-10-30
null,AMBC,2013-10-31
UP,AMGN,2013-10-18
UP,AMGN,2013-10-21
UP,AMGN,2013-10-22
